Doc;Adjacency Word Frequency List
11;{'PREVALENCE': 1, 'RESPIRATORY': 3, 'ALLERGIES': 2, 'EFFECTS': 1, 'COURSE': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'STUDIED': 1, 'PATIENTS': 5, 'FIFTEEN': 1, 'DEFINED': 1, 'HISTORY': 1, 'PHYSICAL': 1, 'EXAMINATION': 1, 'POSITIVE': 1, 'ALLERGY': 2, 'SKIN': 1, 'TESTS': 1, 'NASAL': 1, 'PERIPHERAL': 1, 'EOSINOPHILIA': 1, 'REVERSIBLE': 1, 'AIRWAY': 1, 'OBSTRUCTION': 1, 'SERUM': 1, 'IMMUNOGLOBULINS': 1, 'ALLERGIC': 3, 'NONALLERGIC': 2, 'ELEVATED': 1, 'COMPARED': 2, 'NORMAL': 1, 'AGE': 1, 'MATCHED': 1, 'CONTROLS': 1, 'SIGNIFICANTLY': 1, 'HIGHER': 1, 'IGE': 1, 'LEVELS': 2, 'MEAN': 1, 'INTERNATIONAL': 1, 'UNITS': 1, 'IGG': 1, 'IGM': 1, 'IGA': 1, 'SIMILAR': 1, 'TWO': 1, 'GROUPS': 1, 'CLINICAL': 1, 'CONDITION': 1, 'SHWACHMAN': 1, 'SCORE': 1, 'BETTER': 1, 'SUGGESTING': 1, 'MODULATING': 1, 'EFFECT': 1, 'SEVERITY': 1, 'DISEASE': 1}
12;{'TAUSSIG': 1, 'REPORTED': 1, 'CASE': 1, 'YEAR': 1, 'OLD': 1, 'BOY': 1, 'RUSSELL': 3, 'VARIANT': 1, 'SILVER': 2, 'SYNDROME': 2, 'CONCOMITANT': 1, 'CYSTIC': 2, 'FIBROSIS': 2, 'WOULD': 3, 'LIKE': 1, 'DESCRIBE': 1, 'ANOTHER': 1, 'PATIENT': 3, 'COMBINATION': 1, 'DISEASES': 1, 'PATTERN': 1, 'CLINICAL': 1, 'FINDINGS': 1, 'ACCORDANCE': 1, 'COURSE': 1, 'POSSIBLE': 2, 'DEVELOPMENT': 1, 'ENTIRELY': 1, 'ACCIDENTAL': 1, 'ALTHOUGH': 1, 'COINCIDENCE': 1, 'STATISTICALLY': 1, 'RARE': 1, 'EVENT': 1, 'ESTABLISHMENT': 1, 'RELATIONSHIP': 1, 'TWO': 1, 'CONDITIONS': 1, 'DEPEND': 1, 'REPORTS': 1, 'SIMILAR': 1, 'CASES': 1}
13;{'INTENSIVE': 1, 'SEARCH': 1, 'BLACKS': 3, 'CYSTIC': 1, 'FIBROSIS': 1, 'WASHINGTON': 1, 'PERIOD': 1, 'DISCLOSED': 1, 'BLACK': 2, 'PATIENTS': 1, 'EIGHT': 1, 'BORN': 1, 'DISTRICT': 1, 'COLUMBIA': 1, 'DECADE': 1, 'CALCULATED': 1, 'INCIDENCE': 1, 'LEAST': 1, 'ONE': 1, 'NEWBORNS': 1, 'CLINICAL': 1, 'COURSE': 1, 'PATHOLOGICAL': 1, 'CHANGES': 1, 'SIMILAR': 1, 'WHITES': 2, 'GENETIC': 1, 'CONSIDERATIONS': 1, 'POINT': 1, 'AUTOSOMAL': 1, 'RECESSIVE': 1, 'INHERITANCE': 1, 'GENERALLY': 1, 'ACCEPTED': 1, 'DISEASE': 1}
14;{'PRENATAL': 7, 'DIAGNOSIS': 10, 'GENETIC': 6, 'DISORDERS': 13, 'RECEIVED': 1, 'INCREASING': 1, 'ATTENTION': 1, 'PAST': 2, 'SEVERAL': 1, 'YEARS': 1, 'RAPID': 2, 'EXPANSION': 1, 'KNOWLEDGE': 1, 'BASIS': 1, 'DISEASE': 1, 'DEVELOPMENT': 2, 'RELIABLE': 1, 'DIAGNOSTIC': 1, 'METHODS': 2, 'LED': 1, 'ADVANCES': 1, 'INTRAUTERINE': 3, 'LARGE': 1, 'NUMBER': 6, 'INHERITED': 1, 'INITIALLY': 1, 'USED': 2, 'DETERMINE': 1, 'PRESENCE': 1, 'SYNDROME': 1, 'CHROMOSOMAL': 3, 'ABNORMALITIES': 3, 'DETERMINATION': 1, 'FETAL': 2, 'SEX': 1, 'PREGNANCIES': 1, 'RISK': 1, 'SEVERE': 2, 'LINKED': 2, 'RECESSIVE': 2, 'SHORTLY': 1, 'THEREAFTER': 1, 'BECAME': 1, 'CLEAR': 1, 'TECHNIQUES': 4, 'COULD': 2, 'APPLIED': 1, 'INBORN': 3, 'ERRORS': 3, 'METABOLISM': 7, 'RECENTLY': 1, 'NEW': 1, 'DEVELOPED': 1, 'MAY': 1, 'PROVE': 1, 'GREAT': 1, 'VALUE': 1, 'CONGENITAL': 1, 'MALFORMATIONS': 1, 'DIAGNOSED': 1, 'PRIOR': 1, 'BIRTH': 1, 'GOAL': 1, 'REVIEW': 1, 'DEFINE': 1, 'ACHIEVEMENTS': 1, 'FUTURE': 1, 'GOALS': 1, 'PRESENT': 1, 'LIMITATIONS': 1, 'FIRST': 1, 'SECTION': 1, 'DEAL': 1, 'GENERAL': 1, 'APPROACHES': 3, 'FOLLOWED': 1, 'DISCUSSION': 1, 'SPECIFIC': 2, 'APPLICATIONS': 2, 'BASIC': 1, 'INCLUDE': 2, 'AMNIOCENTESIS': 1, 'DIRECT': 1, 'INDIRECT': 1, 'VISUALIZATION': 1, 'FETUS': 1, 'ANALYSIS': 1, 'MATERNAL': 1, 'BLOOD': 1, 'URINE': 1, 'SAMPLING': 1, 'TISSUES': 1, 'LIPID': 1, 'CARBOHYDRATE': 1, 'MUCOPOLYSACCHARIDE': 1, 'AMINO': 1, 'ACID': 1, 'MISCELLANEOUS': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'PROVIDE': 1, 'PARENTS': 1, 'CHILDREN': 1, 'WITHOUT': 1, 'FEAR': 1, 'CHILD': 1, 'DEFORMITY': 1, 'ADDITION': 1, 'INCREASE': 1, 'DETECTABLE': 1, 'UTERO': 1, 'POTENTIAL': 1, 'TREATMENT': 1, 'UNLIMITED': 1}
15;{'THREE': 1, 'WOMEN': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'CLINIC': 1, 'USED': 1, 'COMBINED': 1, 'FORM': 1, 'ORAL': 2, 'CONTRACEPTIVE': 1, 'DEVELOPED': 1, 'ACUTE': 1, 'POLYPOID': 1, 'CERVICITIS': 1, 'ONE': 1, 'WOMAN': 1, 'POLYP': 2, 'RECURRED': 1, 'REINSTITUTION': 1, 'MEDICATION': 1, 'RESOLUTION': 1, 'INSTANCE': 1, 'DISCONTINUATION': 1, 'DRUGS': 1, 'AFFECTED': 1, 'COINCIDENTAL': 1, 'DETERIORATION': 1, 'RESPIRATORY': 1, 'STATUS': 2, 'THEREFORE': 1, 'SUGGESTED': 1, 'PATIENTS': 1, 'USING': 1, 'CONTRACEPTION': 1, 'OBSERVED': 1, 'CLOSELY': 1, 'REGARDING': 1, 'PULMONARY': 1, 'GYNECOLOGIC': 1}
16;{'SYNDROME': 1, 'ATAXIA': 2, 'TELANGIECTASIA': 1, 'CHARACTERIZED': 1, 'PROGRESSIVE': 1, 'NEUROLOGIC': 1, 'DEGENERATION': 1, 'CUTANEOUS': 1, 'CONJUNCTIVAL': 1, 'TELANGIECTASIS': 1, 'IMMUNOLOGIC': 1, 'DEFICIENCY': 1, 'ROENTGENOLOGIC': 1, 'EVIDENCE': 1, 'CHRONIC': 1, 'PULMONARY': 1, 'SINUS': 1, 'INFECTIONS': 1, 'DECREASED': 1, 'LYMPHOID': 1, 'TISSUE': 1, 'USUALLY': 1, 'PRESENT': 1, 'SINOPULMONARY': 1, 'ABNORMALITIES': 1, 'RESEMBLE': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'SMALL': 1, 'ADENOIDAL': 1, 'MASS': 1, 'MAY': 1, 'DIFFERENTIAL': 1, 'AID': 1}
17;{'CYSTIC': 2, 'FIBROSIS': 2, 'LONGER': 1, 'RARE': 1, 'ADULTS': 2, 'LUNG': 1, 'MAIN': 1, 'TARGET': 1, 'ORGAN': 1, 'BASIC': 1, 'LESION': 1, 'BRONCHIAL': 1, 'OBSTRUCTION': 1, 'LEADING': 1, 'BRONCHIECTASIS': 1, 'INTERSTITIAL': 2, 'INFILTRATES': 1, 'CYST': 1, 'LIKE': 1, 'CHANGES': 1, 'CHARACTERISTIC': 1, 'ROENTGENOGRAPHY': 1, 'COMPLICATIONS': 1, 'INCLUDE': 1, 'PULMONARY': 2, 'HYPERTENSION': 1, 'PNEUMONITIS': 1, 'HEMORRHAGE': 1, 'PNEUMOTHORAX': 1, 'LITTLE': 1, 'CORRELATION': 1, 'EXISTS': 1, 'RESPIRATORY': 1, 'TRACT': 1, 'PANCREATIC': 1, 'GASTROINTESTINAL': 1, 'INVOLVEMENT': 1, 'DESPITE': 1, 'SIMILARITIES': 1, 'PATHOGENESIS': 1, 'ALWAYS': 1, 'RESEMBLE': 1, 'CONDITION': 1, 'CHILDREN': 1, 'MUST': 1, 'DIFFERENTIATED': 1, 'CHRONIC': 1, 'DISEASES': 1}
18;{'FAR': 1, 'RABBIT': 4, 'ALVEOLAR': 5, 'MACROPHAGES': 4, 'CONCERNED': 1, 'CONCENTRATION': 3, 'HOMOZYGOUS': 3, 'SERUM': 7, 'USED': 3, 'EXPERIMENTS': 2, 'EVEN': 1, 'GREATER': 1, 'FOURFOLD': 1, 'BIGGAR': 2, 'ASSOCIATES': 2, 'STATE': 1, 'REQUIRED': 1, 'NORMAL': 4, 'PHAGOCYTOSIS': 3, 'INCREASING': 2, 'DILUTIONS': 1, 'SERA': 3, 'EITHER': 1, 'HANKS': 1, 'BALANCED': 1, 'SALT': 1, 'SOLUTION': 1, 'HUMAN': 5, 'THUS': 1, 'DECREASING': 1, 'INCREASED': 2, 'CAPACITY': 1, 'PHAGOCYTIZE': 1, 'KILL': 1, 'PSEUDOMONAS': 2, 'AERUGINOSA': 2, 'CONCENTRATIONS': 3, 'OPPOSITE': 1, 'EFFECT': 1, 'SUSPENSION': 1, 'REDUCED': 2, 'PHAGOCYTIC': 2, 'ACTIVITY': 2, 'UNEXPECTED': 1, 'HIGH': 1, 'LIKELY': 1, 'TOXIC': 1, 'INHIBITION': 2, 'ABSENT': 1, 'HOURS': 1, 'OLD': 1, 'PREVIOUSLY': 1, 'HEATED': 1, 'FROZEN': 1, 'OBSERVATIONS': 1, 'DILUTION': 1, 'MACROPHAGE': 2, 'ABILITY': 1, 'FEEL': 1, 'DATA': 1, 'DEMONSTRATE': 1, 'PRESENCE': 1, 'LABILE': 1, 'INHIBITOR': 1, 'RATHER': 1, 'DEFICIENCY': 2, 'SINCE': 1, 'WELL': 1, 'KNOWN': 1, 'PATIENTS': 1, 'ELEVATED': 1, 'IMMUNOGLOBULINS': 1, 'INCLUDING': 1, 'IGA': 3, 'PULMONARY': 1, 'SECRETIONS': 1, 'RESPOND': 1, 'INFECTION': 1, 'SHOWN': 1, 'ESSENTIAL': 1, 'CANNOT': 1, 'AGREE': 1, 'DUE': 1, 'ALSO': 1, 'NOTE': 1, 'STORED': 1, 'DEGREES': 1, 'PERHAPS': 1, 'MAY': 1, 'ACCOUNT': 1, 'DIFFERENCE': 1, 'RESULTS': 1}
19;{'ASSAYED': 1, 'SERUM': 3, 'GROUP': 2, 'CYSTIC': 11, 'FIBROSIS': 11, 'PATIENTS': 10, 'ORAL': 2, 'ARGININE': 10, 'THERAPY': 2, 'RECEIVING': 2, 'TREATMENT': 1, 'TOTAL': 1, 'ESTERASE': 6, 'ACTIVITY': 6, 'UNTREATED': 1, 'SIGNIFICANTLY': 1, 'LOWER': 1, 'NORMAL': 2, 'CONTROLS': 4, 'CARRIERS': 2, 'SIGNIFICANT': 1, 'DIFFERENCE': 1, 'TREATED': 1, 'RECENTLY': 2, 'OBSERVED': 1, 'DIFFERENCES': 2, 'ESTERASES': 1, 'PLASMA': 3, 'ELECTROFUSING': 1, 'POLYACRYLAMIDE': 1, 'GELS': 1, 'SIX': 1, 'BANDS': 1, 'COULD': 2, 'DETECTED': 2, 'WHEREAS': 1, 'FIVE': 1, 'WORK': 2, 'DEFICIENCY': 3, 'TRYPSIN': 1, 'LIKE': 1, 'MIXED': 1, 'SALIVA': 1, 'REPRODUCED': 1, 'ANOTHER': 1, 'LABORATORY': 1, 'COBURN': 1, 'CONFIRMED': 1, 'PRESENT': 1, 'WORKING': 1, 'HYPOTHESIS': 1, 'UNDERSTAND': 1, 'BASIC': 1, 'DEFECT': 1, 'VARIATIONS': 1, 'SODIUM': 1, 'CHLORIDE': 1, 'CONTENT': 1, 'EMPLOYED': 1, 'TESTED': 1, 'WITHOUT': 1, 'DIAGNOSIS': 1, 'FOUND': 1, 'ALTER': 1, 'LEVEL': 1, 'MAJOR': 1, 'TWO': 1, 'STUDIES': 1, 'RESULTED': 1, 'CONTROL': 1, 'SUBJECTS': 1, 'RAO': 1, 'NEGLECTS': 1, 'MENTION': 1, 'LABORATORIES': 1, 'UNABLE': 1, 'CONFIRM': 1, 'FINDINGS': 1}
20;{'ABILITY': 1, 'DETECT': 1, 'ABNORMALITIES': 1, 'LUNG': 2, 'FUNCTION': 1, 'CHILDREN': 2, 'ASTHMA': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'MEASUREMENT': 1, 'CLOSING': 3, 'VOLUME': 6, 'STUDIED': 2, 'FLOW': 2, 'CHARACTERISTICS': 1, 'ROUTINE': 1, 'SPIROMETRY': 1, 'BODY': 1, 'PLETHYSMOGRAPHY': 1, 'ARTERIALIZED': 2, 'OXYGEN': 1, 'TENSIONS': 1, 'COMPARISON': 1, 'LESS': 1, 'SENSITIVE': 1, 'DETECTING': 1, 'DISEASE': 1, 'RESIDUAL': 1, 'TOTAL': 1, 'CAPACITY': 1, 'RATIO': 1, 'MAXIMUM': 1, 'EXPIRATORY': 1, 'CURVES': 1, 'BLOOD': 1, 'GASES': 1}
21;{'FIVE': 1, 'PARENTS': 2, 'CHILDREN': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'DEVELOPED': 1, 'ALLERGIC': 1, 'BRONCHOSPASM': 1, 'INHALING': 1, 'PANCREATIC': 2, 'EXTRACTS': 2, 'SPRINKLED': 1, 'FOOD': 1, 'POSITIVE': 1, 'HISTORY': 2, 'ALLERGY': 1, 'PAST': 1, 'ASTHMA': 3, 'RESPONDED': 1, 'BRONCHODILATORS': 1, 'USE': 1, 'FACE': 1, 'MASK': 1, 'PREPARATION': 1, 'MEALS': 1, 'PREVENTED': 1, 'RECURRENCES': 1, 'DATE': 1, 'PRECIPITATES': 1, 'INHALATION': 1, 'SEEN': 1, 'PATIENTS': 1}
