query_number;doc_number_list;doc_score_list
11;[36, 46, 96, 186, 301, 428, 518, 649, 652, 659, 772, 796, 798, 799, 835, 837, 908, 909, 991, 1119, 1178, 1226];[0.018518518518518517, 0.018518518518518517, 0.07407407407407407, 0.018518518518518517, 0.018518518518518517, 0.05555555555555555, 0.06481481481481481, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.037037037037037035, 0.12962962962962962, 0.1111111111111111, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517, 0.12962962962962962, 0.12962962962962962, 0.009259259259259259, 0.018518518518518517, 0.037037037037037035]
12;[70, 181, 443, 466, 755, 918, 1115];[0.3076923076923077, 0.05128205128205128, 0.23076923076923078, 0.2564102564102564, 0.05128205128205128, 0.05128205128205128, 0.05128205128205128]
13;[156, 301, 314, 322, 370, 443, 462, 522, 643, 695, 715, 719, 722, 763, 764, 791, 822, 900, 902, 978, 1017, 1033, 1097, 1124];[0.10377358490566038, 0.08490566037735849, 0.1320754716981132, 0.07547169811320754, 0.009433962264150943, 0.0660377358490566, 0.03773584905660377, 0.009433962264150943, 0.018867924528301886, 0.07547169811320754, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.02830188679245283, 0.018867924528301886, 0.09433962264150944, 0.018867924528301886, 0.009433962264150943, 0.04716981132075472, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.03773584905660377]
14;[5, 89, 92, 131, 135, 150, 156, 203, 232, 233, 234, 291, 297, 314, 319, 344, 345, 356, 367, 370, 379, 405, 413, 417, 419, 421, 424, 462, 465, 492, 584, 602, 616, 635, 662, 695, 719, 777, 791, 809, 815, 852, 889, 899, 930, 941, 1000, 1008, 1013, 1100, 1117, 1124, 1135, 1206, 1234];[0.008955223880597015, 0.0029850746268656717, 0.005970149253731343, 0.03582089552238806, 0.005970149253731343, 0.041791044776119404, 0.005970149253731343, 0.005970149253731343, 0.005970149253731343, 0.03283582089552239, 0.026865671641791045, 0.005970149253731343, 0.005970149253731343, 0.005970149253731343, 0.005970149253731343, 0.03283582089552239, 0.023880597014925373, 0.005970149253731343, 0.023880597014925373, 0.014925373134328358, 0.005970149253731343, 0.03283582089552239, 0.005970149253731343, 0.023880597014925373, 0.011940298507462687, 0.005970149253731343, 0.005970149253731343, 0.03582089552238806, 0.020895522388059702, 0.005970149253731343, 0.011940298507462687, 0.01791044776119403, 0.026865671641791045, 0.03880597014925373, 0.0029850746268656717, 0.005970149253731343, 0.011940298507462687, 0.023880597014925373, 0.03880597014925373, 0.005970149253731343, 0.041791044776119404, 0.041791044776119404, 0.005970149253731343, 0.041791044776119404, 0.011940298507462687, 0.01791044776119403, 0.005970149253731343, 0.029850746268656716, 0.011940298507462687, 0.041791044776119404, 0.029850746268656716, 0.03880597014925373, 0.01791044776119403, 0.005970149253731343, 0.011940298507462687]
15;[17, 59, 63, 72, 91, 95, 97, 98, 99, 135, 149, 174, 197, 204, 205, 226, 232, 238, 266, 297, 301, 322, 339, 350, 354, 355, 364, 370, 385, 398, 408, 410, 413, 414, 420, 422, 423, 424, 426, 434, 443, 474, 545, 549, 550, 601, 603, 611, 642, 643, 657, 673, 690, 700, 720, 722, 724, 725, 729, 731, 735, 747, 752, 763, 764, 767, 792, 794, 816, 822, 833, 837, 844, 853, 854, 857, 863, 870, 875, 888, 889, 900, 944, 990, 993, 994, 1000, 1013, 1016, 1027, 1033, 1040, 1093, 1098, 1115, 1162, 1184, 1187, 1192, 1195, 1226, 1232, 1234, 1235];[0.0035149384885764497, 0.022847100175746926, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.019332161687170474, 0.0035149384885764497, 0.01054481546572935, 0.01757469244288225, 0.007029876977152899, 0.02460456942003515, 0.0210896309314587, 0.007029876977152899, 0.0017574692442882249, 0.0035149384885764497, 0.02460456942003515, 0.0035149384885764497, 0.022847100175746926, 0.022847100175746926, 0.0210896309314587, 0.0035149384885764497, 0.0035149384885764497, 0.019332161687170474, 0.015817223198594025, 0.015817223198594025, 0.02460456942003515, 0.007029876977152899, 0.0017574692442882249, 0.012302284710017574, 0.0017574692442882249, 0.0017574692442882249, 0.0035149384885764497, 0.02460456942003515, 0.0210896309314587, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.02460456942003515, 0.012302284710017574, 0.01757469244288225, 0.019332161687170474, 0.0035149384885764497, 0.022847100175746926, 0.007029876977152899, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.019332161687170474, 0.0210896309314587, 0.02460456942003515, 0.019332161687170474, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.007029876977152899, 0.0210896309314587, 0.012302284710017574, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.008787346221441126, 0.0035149384885764497, 0.007029876977152899, 0.02460456942003515, 0.0035149384885764497, 0.0035149384885764497, 0.0035149384885764497, 0.007029876977152899, 0.01054481546572935, 0.007029876977152899, 0.0035149384885764497, 0.01757469244288225, 0.01054481546572935, 0.007029876977152899, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.007029876977152899, 0.007029876977152899, 0.01054481546572935, 0.02460456942003515, 0.0035149384885764497, 0.02460456942003515, 0.0035149384885764497, 0.007029876977152899, 0.0035149384885764497, 0.0035149384885764497, 0.01757469244288225]
16;[5, 10, 17, 36, 41, 46, 69, 72, 89, 92, 95, 97, 98, 126, 129, 130, 132, 134, 135, 148, 150, 168, 181, 182, 186, 189, 197, 202, 205, 212, 225, 226, 238, 240, 255, 288, 290, 292, 297, 298, 301, 314, 320, 322, 330, 331, 333, 350, 357, 359, 364, 370, 376, 386, 396, 398, 413, 421, 424, 428, 434, 443, 462, 466, 468, 472, 473, 475, 478, 489, 490, 510, 512, 518, 522, 550, 553, 559, 581, 582, 586, 594, 615, 616, 641, 642, 643, 649, 656, 657, 658, 659, 660, 662, 673, 676, 708, 709, 711, 715, 719, 722, 723, 724, 725, 727, 729, 730, 731, 735, 755, 756, 758, 762, 763, 764, 767, 770, 772, 783, 791, 797, 799, 809, 810, 816, 822, 834, 835, 837, 844, 867, 870, 872, 875, 882, 888, 889, 893, 896, 901, 902, 919, 928, 932, 935, 937, 938, 941, 943, 944, 970, 974, 984, 990, 991, 993, 994, 1000, 1002, 1016, 1017, 1023, 1033, 1037, 1051, 1066, 1076, 1080, 1098, 1101, 1115, 1135, 1154, 1158, 1189, 1192, 1226, 1232, 1234];[0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.003694581280788177, 0.008620689655172414, 0.0049261083743842365, 0.0024630541871921183, 0.017241379310344827, 0.0024630541871921183, 0.017241379310344827, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.011083743842364532, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.007389162561576354, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.007389162561576354, 0.017241379310344827, 0.01600985221674877, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.009852216748768473, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.017241379310344827, 0.011083743842364532, 0.0024630541871921183, 0.013546798029556651, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.0024630541871921183, 0.007389162561576354, 0.013546798029556651, 0.013546798029556651, 0.012315270935960592, 0.0024630541871921183, 0.017241379310344827, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.009852216748768473, 0.007389162561576354, 0.0024630541871921183, 0.017241379310344827, 0.0024630541871921183, 0.014778325123152709, 0.013546798029556651, 0.0024630541871921183, 0.0024630541871921183, 0.01600985221674877, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.007389162561576354, 0.008620689655172414, 0.007389162561576354, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.012315270935960592, 0.0024630541871921183, 0.0024630541871921183, 0.009852216748768473, 0.008620689655172414, 0.0049261083743842365, 0.01600985221674877, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.01600985221674877, 0.0049261083743842365, 0.0049261083743842365, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.013546798029556651, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.014778325123152709, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.007389162561576354, 0.008620689655172414, 0.0024630541871921183, 0.0024630541871921183, 0.008620689655172414, 0.0049261083743842365, 0.0024630541871921183, 0.003694581280788177, 0.01600985221674877, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.017241379310344827, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.017241379310344827, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.009852216748768473, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.009852216748768473, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.008620689655172414, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.013546798029556651, 0.0024630541871921183, 0.007389162561576354, 0.0049261083743842365, 0.007389162561576354, 0.012315270935960592, 0.0049261083743842365, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0024630541871921183, 0.0049261083743842365, 0.0049261083743842365, 0.0049261083743842365, 0.0049261083743842365, 0.0024630541871921183, 0.009852216748768473, 0.0024630541871921183, 0.0024630541871921183, 0.008620689655172414, 0.009852216748768473, 0.0024630541871921183, 0.0049261083743842365]
17;[49, 89, 101, 128, 132, 135, 153, 189, 233, 238, 297, 298, 301, 330, 333, 357, 359, 370, 428, 443, 450, 506, 643, 660, 662, 688, 722, 729, 730, 731, 735, 791, 810, 816, 837, 839, 845, 882, 889, 897, 937, 938, 941, 944, 1000, 1023, 1040, 1069, 1080, 1088, 1101, 1103, 1115, 1187, 1234];[0.05855855855855856, 0.04054054054054054, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.03153153153153153, 0.03153153153153153, 0.02252252252252252, 0.02702702702702703, 0.013513513513513514, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.009009009009009009, 0.04054054054054054, 0.05405405405405406, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.018018018018018018, 0.04954954954954955, 0.04954954954954955, 0.02702702702702703, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.05405405405405406, 0.03153153153153153, 0.009009009009009009, 0.009009009009009009, 0.009009009009009009]
18;[129, 153, 205, 226, 364, 370, 414, 424, 443, 642, 656, 657, 658, 660, 725, 816, 935, 993, 994, 1016, 1162];[0.14444444444444443, 0.022222222222222223, 0.1, 0.044444444444444446, 0.011111111111111112, 0.044444444444444446, 0.044444444444444446, 0.05555555555555555, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0.05555555555555555, 0.022222222222222223, 0.044444444444444446, 0.05555555555555555, 0.022222222222222223, 0.07777777777777778, 0.03333333333333333]
19;[21, 49, 359, 370, 398, 432, 455, 487, 506, 618, 626, 672, 688, 693, 897, 936, 944, 1000, 1049, 1103, 1129, 1205];[0.054945054945054944, 0.01098901098901099, 0.03296703296703297, 0.016483516483516484, 0.01098901098901099, 0.06043956043956044, 0.01098901098901099, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.06593406593406594, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.01098901098901099, 0.01098901098901099, 0.01098901098901099, 0.06593406593406594, 0.07692307692307693, 0.01098901098901099, 0.01098901098901099]
20;[126, 133, 153, 181, 207, 208, 220, 278, 283, 286, 287, 288, 290, 292, 370, 443, 538, 539, 540, 544, 604, 643, 711, 715, 731, 758, 767, 791, 823, 824, 882, 919, 924, 928, 944, 962, 970, 1066, 1080, 1115, 1168, 1189, 1213, 1215, 1234, 1239];[0.032448377581120944, 0.011799410029498525, 0.011799410029498525, 0.0058997050147492625, 0.038348082595870206, 0.038348082595870206, 0.035398230088495575, 0.02654867256637168, 0.008849557522123894, 0.02654867256637168, 0.02654867256637168, 0.008849557522123894, 0.02654867256637168, 0.02654867256637168, 0.008849557522123894, 0.0058997050147492625, 0.038348082595870206, 0.02654867256637168, 0.04129793510324484, 0.02654867256637168, 0.0029498525073746312, 0.0058997050147492625, 0.017699115044247787, 0.017699115044247787, 0.0058997050147492625, 0.04129793510324484, 0.0029498525073746312, 0.0058997050147492625, 0.04129793510324484, 0.011799410029498525, 0.011799410029498525, 0.0058997050147492625, 0.04129793510324484, 0.0058997050147492625, 0.0058997050147492625, 0.04129793510324484, 0.011799410029498525, 0.04129793510324484, 0.0058997050147492625, 0.04129793510324484, 0.04129793510324484, 0.0058997050147492625, 0.04129793510324484, 0.04129793510324484, 0.011799410029498525, 0.02064896755162242]
21;[68, 97, 98, 181, 251, 413, 416, 434, 443, 551, 615, 676, 708, 709, 719, 722, 751, 756, 757, 932, 941, 1098, 1115, 1158, 1189];[0.09016393442622951, 0.03278688524590164, 0.04918032786885246, 0.01639344262295082, 0.09016393442622951, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.03278688524590164, 0.00819672131147541, 0.01639344262295082, 0.01639344262295082, 0.10655737704918032, 0.11475409836065574, 0.02459016393442623, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082, 0.00819672131147541, 0.01639344262295082, 0.040983606557377046, 0.03278688524590164, 0.09016393442622951, 0.09836065573770492, 0.01639344262295082]
22;[13, 39, 67, 69, 104, 130, 189, 197, 221, 226, 237, 247, 258, 262, 276, 322, 325, 333, 342, 343, 350, 365, 370, 392, 431, 464, 465, 473, 478, 503, 510, 512, 514, 586, 590, 654, 671, 682, 692, 704, 713, 729, 731, 735, 764, 774, 788, 843, 845, 871, 880, 881, 882, 888, 898, 908, 942, 946, 968, 1000, 1033, 1040, 1083, 1093, 1114, 1144, 1156, 1166, 1194, 1195];[0.041666666666666664, 0.017857142857142856, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.041666666666666664, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.008928571428571428, 0.005952380952380952, 0.03571428571428571, 0.03273809523809524, 0.041666666666666664, 0.005952380952380952, 0.005952380952380952, 0.005952380952380952, 0.008928571428571428, 0.008928571428571428, 0.002976190476190476, 0.005952380952380952, 0.023809523809523808, 0.005952380952380952, 0.026785714285714284, 0.005952380952380952, 0.005952380952380952, 0.026785714285714284, 0.026785714285714284, 0.01488095238095238, 0.008928571428571428, 0.008928571428571428, 0.011904761904761904, 0.005952380952380952, 0.011904761904761904, 0.008928571428571428, 0.01488095238095238, 0.005952380952380952, 0.041666666666666664, 0.026785714285714284, 0.005952380952380952, 0.005952380952380952, 0.011904761904761904, 0.005952380952380952, 0.02976190476190476, 0.008928571428571428, 0.017857142857142856, 0.01488095238095238, 0.011904761904761904, 0.011904761904761904, 0.023809523809523808, 0.01488095238095238, 0.011904761904761904, 0.011904761904761904, 0.03571428571428571, 0.020833333333333332, 0.005952380952380952, 0.005952380952380952, 0.002976190476190476, 0.011904761904761904, 0.005952380952380952, 0.005952380952380952, 0.03273809523809524, 0.005952380952380952, 0.017857142857142856, 0.002976190476190476, 0.020833333333333332, 0.008928571428571428, 0.026785714285714284, 0.005952380952380952]
23;[9, 10, 11, 12, 34, 42, 99, 162, 163, 167, 198, 248, 285, 322, 350, 370, 426, 434, 464, 509, 541, 582, 583, 598, 716, 780, 859, 883, 888, 979, 984, 1096, 1114, 1156, 1163];[0.05217391304347826, 0.05652173913043478, 0.013043478260869565, 0.05217391304347826, 0.06086956521739131, 0.06086956521739131, 0.0391304347826087, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.013043478260869565, 0.017391304347826087, 0.02608695652173913, 0.05652173913043478, 0.043478260869565216, 0.008695652173913044, 0.06086956521739131, 0.06086956521739131, 0.017391304347826087, 0.008695652173913044, 0.017391304347826087, 0.02608695652173913, 0.008695652173913044, 0.0391304347826087, 0.008695652173913044, 0.02608695652173913, 0.06086956521739131, 0.017391304347826087, 0.017391304347826087, 0.06086956521739131, 0.008695652173913044, 0.008695652173913044]
24;[32, 72, 199, 207, 210, 240, 254, 331, 370, 377, 411, 477, 492, 522, 552, 559, 611, 647, 677, 724, 763, 858, 913, 915, 926, 934, 1000, 1031, 1109, 1195, 1232];[0.02027027027027027, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.06756756756756757, 0.013513513513513514, 0.060810810810810814, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.013513513513513514, 0.02702702702702703, 0.013513513513513514, 0.02702702702702703, 0.0945945945945946, 0.013513513513513514, 0.02702702702702703, 0.013513513513513514, 0.013513513513513514, 0.0945945945945946, 0.06756756756756757, 0.07432432432432433, 0.013513513513513514, 0.013513513513513514, 0.04054054054054054, 0.0945945945945946, 0.060810810810810814, 0.013513513513513514]
